Date;Time;U(Volts);I(Amps);P(Wt);Pnom;L(Wt/m^2);T(deg.Cels.)
2021-04-30;0:00:02;90;30;1;1;1;1
2021-04-30;0:00:32;90;30;1;1;1;1
2021-04-30;0:01:02;90;30;1;1;1;1
2021-04-30;0:01:32;90;30;1;1;1;1
2021-04-30;0:02:02;90;30;1;1;1;1
2021-04-30;0:02:32;90;30;1;1;1;1
2021-04-30;0:03:02;90;30;1;1;1;1
2021-04-30;0:03:32;90;30;1;1;1;1
2021-04-30;0:04:02;90;30;1;1;1;1
2021-04-30;0:04:32;90;30;1;1;1;1
2021-04-30;0:05:02;90;30;1;1;1;1
2021-04-30;0:05:32;90;30;1;1;1;1
2021-04-30;0:06:02;90;30;1;1;1;1
2021-04-30;0:06:32;90;30;1;1;1;1
2021-04-30;0:07:02;90;30;1;1;1;1
2021-04-30;0:07:32;90;30;1;1;1;1
2021-04-30;0:08:02;90;30;1;1;1;1
2021-04-30;0:08:32;90;30;1;1;1;1
2021-04-30;0:09:02;90;30;1;1;1;1
2021-04-30;0:09:32;90;30;1;1;1;1
2021-04-30;0:10:02;90;30;1;1;1;1
2021-04-30;0:10:32;90;50;1;1;1;1
2021-04-30;0:11:02;90;50;1;1;1;1
2021-04-30;0:11:32;90;50;1;1;1;1
2021-04-30;0:12:02;90;50;1;1;1;1
2021-04-30;0:12:32;90;50;1;1;1;1
2021-04-30;0:13:02;90;50;1;1;1;1
2021-04-30;0:13:32;90;50;1;1;1;1
2021-04-30;0:14:02;90;50;1;1;1;1
2021-04-30;0:14:32;90;50;1;1;1;1
2021-04-30;0:15:02;90;50;1;1;1;1
2021-04-30;0:15:32;90;50;1;1;1;1
2021-04-30;0:16:02;90;50;1;1;1;1
2021-04-30;0:16:32;90;50;1;1;1;1
2021-04-30;0:17:02;90;50;1;1;1;1
2021-04-30;0:17:32;90;50;1;1;1;1
2021-04-30;0:18:02;90;50;1;1;1;1
2021-04-30;0:18:32;90;50;1;1;1;1
2021-04-30;0:19:02;90;50;1;1;1;1
2021-04-30;0:19:32;90;50;1;1;1;1
2021-04-30;0:20:02;90;50;1;1;1;1
2021-04-30;0:20:32;90;50;1;1;1;1
2021-04-30;0:21:02;90;50;1;1;1;1
2021-04-30;0:21:32;90;50;1;1;1;1
2021-04-30;0:22:02;90;50;1;1;1;1
2021-04-30;0:22:32;90;50;1;1;1;1
2021-04-30;0:23:02;90;50;1;1;1;1
2021-04-30;0:23:32;90;50;1;1;1;1
2021-04-30;0:24:02;90;50;1;1;1;1
2021-04-30;0:24:32;90;50;1;1;1;1
2021-04-30;0:25:02;90;50;1;1;1;1
2021-04-30;0:25:32;90;50;1;1;1;1
2021-04-30;0:26:02;90;50;1;1;1;1
2021-04-30;0:26:32;90;50;1;1;1;1
2021-04-30;0:27:02;90;50;1;1;1;1
2021-04-30;0:27:32;90;50;1;1;1;1
2021-04-30;0:28:02;90;50;1;1;1;1
2021-04-30;0:28:32;90;50;1;1;1;1
2021-04-30;0:29:02;90;50;1;1;1;1
2021-04-30;0:29:32;90;50;1;1;1;1
2021-04-30;0:30:02;90;50;1;1;1;1
2021-04-30;0:30:32;90;50;1;1;1;1
2021-04-30;0:31:02;90;50;1;1;1;1
2021-04-30;0:31:32;90;50;1;1;1;1
2021-04-30;0:32:02;90;50;1;1;1;1
2021-04-30;0:32:32;90;50;1;1;1;1
2021-04-30;0:33:02;90;50;1;1;1;1
2021-04-30;0:33:32;90;50;1;1;1;1
2021-04-30;0:34:02;90;50;1;1;1;1
